file,prediction,confidence
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-275-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-187-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-233-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-238-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-276-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-016-spam,ham,0.5214923579346012
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-259-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-282-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-274-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-193-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-000-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-273-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-288-spam,ham,0.9980936845286369
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-186-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-014-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-015-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-204-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-243-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-223-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-296-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-278-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/002-005-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-206-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-232-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-299-spam,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-292-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-229-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-227-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-003-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-293-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-280-spam,spam,0.999999999699412
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/002-016-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-297-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-295-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-188-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-231-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-019-spam,spam,0.9973014319798053
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-222-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-240-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-013-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-283-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-009-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/002-007-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-298-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-018-spam,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-289-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-245-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-285-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-285-spam,ham,0.9999967638295925
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-278-spam,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/002-018-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-174-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-272-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-010-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/000-286-spam,spam,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-265-ham,ham,1.0
/content/drive/Shareddrives/CMSC 170/2024-2025/Lab Exercises/Exercise 05 - dataset/data01/classify/001-017-spam,spam,1.0
